parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
29Na,29Mg,b-,11,18,0.0,3/2,1,12,17,0.0,3/2,1,24.0,8.0,5.06,0.15,0.053529422,0.018488407,0.345387764,True,3,3,0.0,False,0.0
27Mg,27Al,b-,12,15,0.0,1/2,1,13,14,843.8,1/2,1,70.94,0.09,4.7297,0.001,0.114522958,0.000263699,0.002302585,True,1,1,0.0,False,0.0
27Mg,27Al,b-,12,15,0.0,1/2,1,13,14,1014.6,3/2,1,29.06,0.09,4.934,0.0016,0.071547186,0.00026359,0.003684136,True,1,3,0.0,False,1.0
28Mg,28Al,b-,12,16,0.0,0,1,13,15,1372.9,1,1,94.8,1.0,4.453,0.009,0.216567137,0.004487978,0.020723266,True,0,2,0.0,False,1.0
28Mg,28Al,b-,12,16,0.0,0,1,13,15,1620.1,1,2,4.9,1.0,4.57,0.09,0.165421729,0.034280785,0.207232658,True,0,2,0.0,False,1.0
29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,0.0,5/2,1,27.0,8.0,5.32,0.14,0.029416605,0.009482793,0.322361913,True,3,5,0.0,False,1.0
29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,3184.5,5/2,3,28.0,5.0,4.21,0.09,0.378959288,0.078532741,0.207232658,True,3,5,0.0,False,1.0
29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,2224.1,3/2,1,21.0,6.0,4.73,0.13,0.114443875,0.034257179,0.299336062,True,3,3,0.0,False,0.0
29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,1398.0,1/2,1,7.0,3.0,5.49,0.19,0.019888066,0.008700853,0.437491168,True,3,1,0.0,False,-1.0
29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,2865.0,3/2,2,7.8,1.5,4.9,0.1,0.077373556,0.01781592,0.230258509,True,3,3,0.0,False,0.0
29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,3061.7,5/2,2,6.0,1.6,4.93,0.13,0.072209204,0.021614819,0.299336062,True,3,5,0.0,False,1.0
29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,3184.0,5/2,3,28.0,5.0,4.21,0.09,0.378959288,0.078532741,0.207232658,True,3,5,0.0,False,1.0
29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,3433.0,1/2,2,3.0,0.9,5.06,0.14,0.053529422,0.017255847,0.322361913,True,3,1,0.0,False,-1.0
30Mg,30Al,b-,12,18,0.0,0,1,13,17,688.0,1,1,68.0,20.0,3.96,0.13,0.673895499,0.201721225,0.299336062,True,0,2,0.0,False,1.0
30Mg,30Al,b-,12,18,0.0,0,1,13,17,2413.0,1,2,7.0,1.0,4.3,0.07,0.308029674,0.049648517,0.161180957,True,0,2,0.0,False,1.0
28Al,28Si,b-,13,15,0.0,3,1,14,14,1779.0,2,1,99.99,0.01,4.8664,0.0004,0.083597359,7.6996e-05,0.000921034,True,6,4,0.0,False,-1.0
29Al,29Si,b-,13,16,0.0,5/2,1,14,15,1273.4,3/2,1,89.9,0.3,5.05,0.005,0.054776283,0.000630635,0.011512925,True,5,3,0.0,False,-1.0
29Al,29Si,b-,13,16,0.0,5/2,1,14,15,2028.17,5/2,1,3.8,0.1,5.733,0.013,0.011365605,0.000340214,0.029933606,True,5,5,0.0,False,0.0
29Al,29Si,b-,13,16,0.0,5/2,1,14,15,2425.99,3/2,2,6.3,0.2,5.026,0.015,0.057888535,0.001999399,0.034538776,True,5,3,0.0,False,-1.0
30Al,30Si,b-,13,17,0.0,3,1,14,16,2235.32,2,1,17.1,0.9,5.619,0.025,0.014777214,0.000850645,0.057564627,True,6,4,0.0,False,-1.0
30Al,30Si,b-,13,17,0.0,3,1,14,16,3498.5,2,2,67.3,1.1,4.578,0.012,0.162402442,0.004487345,0.027631021,True,6,4,0.0,False,-1.0
30Al,30Si,b-,13,17,0.0,3,1,14,16,4810.31,2,3,5.7,0.2,5.06,0.019,0.053529422,0.002341865,0.043749117,True,6,4,0.0,False,-1.0
30Al,30Si,b-,13,17,0.0,3,1,14,16,4830.84,3,1,6.6,0.2,4.985,0.017,0.063619838,0.002490332,0.039143947,True,6,6,0.0,False,0.0
30Al,30Si,b-,13,17,0.0,3,1,14,16,5231.56,3,2,2.6,0.2,5.17,0.04,0.04155206,0.003827086,0.092103404,True,6,6,0.0,False,0.0
31Si,31P,b-,14,17,0.0,3/2,1,15,16,0.0,1/2,1,99.94463,7e-05,5.5254,0.0008,0.01833127,3.37674e-05,0.001842068,True,3,1,0.0,False,-1.0
31Si,31P,b-,14,17,0.0,3/2,1,15,16,1266.0,3/2,1,0.0554,0.0007,5.747,0.011,0.011005064,0.000278741,0.025328436,True,3,3,0.0,False,0.0
33P,33S,b-,15,18,0.0,1/2,1,16,17,0.0,3/2,1,100.0,0.0,5.022,0.007,0.058424171,0.000941686,0.016118096,True,1,3,0.0,False,1.0
34P,34S,b-,15,19,0.0,1,1,16,18,0.0,0,1,84.8,2.1,5.159,0.012,0.04261795,0.001177577,0.027631021,True,2,0,0.0,False,-1.0
34P,34S,b-,15,19,0.0,1,1,16,18,2127.564,2,1,14.8,2.0,4.93,0.06,0.072209204,0.00997607,0.138155106,True,2,4,0.0,False,1.0
34P,34S,b-,15,19,0.0,1,1,16,18,3916.408,0,2,0.045,0.017,5.98,0.17,0.006435652,0.002519168,0.391439466,True,2,0,0.0,False,-1.0
34P,34S,b-,15,19,0.0,1,1,16,18,4074.667,1,1,0.111,0.023,5.38,0.09,0.025620792,0.005309465,0.207232658,True,2,2,0.0,False,0.0
34P,34S,b-,15,19,0.0,1,1,16,18,4114.813,2,2,0.31,0.06,4.88,0.09,0.081020059,0.016790002,0.207232658,True,2,4,0.0,False,1.0
35P,35S,b-,15,20,0.0,1/2,1,16,19,1572.3,1/2,1,98.8,0.03,4.122,0.008,0.464079683,0.008548664,0.018420681,False,1,1,0.0,False,0.0
35P,35S,b-,15,20,0.0,1/2,1,16,19,2938.4,3/2,3,0.47,0.03,4.96,0.03,0.06738955,0.004655105,0.069077553,False,1,3,0.0,False,1.0
35S,35Cl,b-,16,19,0.0,3/2,1,17,18,0.0,3/2,1,100.0,0.0,5.0088,0.0007,0.060227184,9.70748e-05,0.00161181,True,3,3,0.0,False,0.0
36Cl,36Ar,b-,17,19,0.0,2,1,18,18,0.0,0,1,98.1,0.1,13.321,0.003,2.93489e-10,2.02735e-12,0.006907755,False,4,0,0.0,False,-2.0
17F,17O,b+ec,9,8,0.0,5/2,1,8,9,0.0,5/2,1,100.0,0.0,3.3573,0.0012,2.699557336,0.007459153,0.002763102,False,5,5,0.0,True,0.0
18F,18O,b+ec,9,9,0.0,1,1,8,10,0.0,0,1,100.0,0.0,3.57,0.0019,1.65421729,0.007237055,0.004374912,False,2,0,0.0,False,-1.0
18Ne,18F,b+ec,10,8,0.0,0,1,9,9,0.0,1,1,92.11,0.21,3.091,0.004,4.984166662,0.045905871,0.00921034,False,0,2,0.0,False,1.0
18Ne,18F,b+ec,10,8,0.0,0,1,9,9,1700.8,1,2,0.188,0.006,4.47,0.015,0.208253618,0.007192825,0.034538776,False,0,2,0.0,False,1.0
19Ne,19F,b+ec,10,9,0.0,1/2,1,9,10,0.0,1/2,1,99.988,0.002,3.2329,0.0024,3.594947529,0.019866414,0.005526204,True,1,1,0.0,True,0.0
19Ne,19F,b+ec,10,9,0.0,1/2,1,9,10,1554.038,3/2,1,0.00213,0.002,5.71,0.05,0.011983745,0.00137968,0.115129255,True,1,3,0.0,True,1.0
20Na,20Ne,b+ec,11,9,0.0,2,1,10,10,1633.674,2,1,79.44,0.27,4.99,0.01,0.062891587,0.001448132,0.023025851,True,4,4,0.0,False,0.0
20Na,20Ne,b+ec,11,9,0.0,2,1,10,10,7421.9,2,2,15.96,0.22,4.2,0.01,0.387786384,0.008929111,0.023025851,True,4,4,0.0,False,0.0
20Na,20Ne,b+ec,11,9,0.0,2,1,10,10,7833.4,2,3,0.583,0.01,5.48,0.01,0.020351319,0.000468606,0.023025851,True,4,4,0.0,False,0.0
21Na,21Ne,b+ec,11,10,0.0,3/2,1,10,11,0.0,3/2,1,94.93,0.13,3.608,0.007,1.515627777,0.024429033,0.016118096,True,3,3,0.0,True,0.0
21Na,21Ne,b+ec,11,10,0.0,3/2,1,10,11,350.7,5/2,1,5.06,0.13,4.596,0.014,0.155809006,0.005022689,0.032236191,True,3,5,0.0,True,1.0
22Na,22Ne,b+ec,11,11,0.0,3,1,10,12,1274.5,2,1,99.944,0.014,7.41,0.0,0.000239107,0.0,0.0,False,6,4,0.0,False,-1.0
