A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include
26,Al,13,13,3962.83,0.05,3,37 FS 5,1893.29,0.0,100.0,1.4,[M1],0.062,0.009,6,37,FS,5,3.7e-14,5.000000000000001e-15,0.111010572806597,0.0161144379880544,26Al,2,4,7,2,True
26,Al,13,13,4191.92,0.06,3,5 FS 2,3774.77,0.0,100.0,1.5,[M1],0.048,0.02,6,5,FS,2,5.000000000000001e-15,2e-15,0.08594366926962349,0.03580986219567645,26Al,3,6,8,1,True
26,Al,13,13,4191.92,0.06,3,5 FS 2,595.57,0.0,1.5,0.12,[M1],0.18,0.08,6,5,FS,2,5.000000000000001e-15,2e-15,0.32228875976108806,0.1432394487827058,26Al,3,6,8,5,True
26,Al,13,13,4191.92,0.06,3,5 FS 2,2122.97,0.0,40.6,1.2,[M1],0.11,0.05,6,5,FS,2,5.000000000000001e-15,2e-15,0.19695424207622048,0.08952465548919114,26Al,4,8,8,1,True
26,Al,13,13,4191.92,0.06,3,5 FS 2,1826.7,0.0,15.8,0.9,[M1],0.07,0.03,6,5,FS,2,5.000000000000001e-15,2e-15,0.12533451768486759,0.053714793293514675,26Al,3,6,8,2,True
26,Al,13,13,4191.92,0.06,3,5 FS 2,1646.5,0.0,3.57,0.17,[M1],0.021,0.009,6,5,FS,2,5.000000000000001e-15,2e-15,0.03760035530546028,0.0161144379880544,26Al,3,6,8,3,True
26,Al,13,13,4191.92,0.06,3,5 FS 2,1278.49,0.0,0.66,0.07,[M1],0.008,0.004,6,5,FS,2,5.000000000000001e-15,2e-15,0.014323944878270581,0.007161972439135291,26Al,2,4,8,4,True
26,Al,13,13,4349.34,0.07,3,9 FS 3,2279.76,0.0,100.0,0.6,[M1],0.19,0.07,6,9,FS,3,9.000000000000001e-15,3.0000000000000002e-15,0.3401936908589263,0.12533451768486759,26Al,2,4,9,2,True
26,Al,13,13,4599.17,0.05,3,5 FS 2,1938.17,0.0,13.8,0.6,[M1],0.04,0.016,6,5,FS,2,5.000000000000001e-15,2e-15,0.0716197243913529,0.028647889756541162,26Al,2,4,10,3,True
26,Al,13,13,4599.17,0.05,3,5 FS 2,848.26,0.0,3.8,0.4,[M1],0.13,0.06,6,5,FS,2,5.000000000000001e-15,2e-15,0.23276410427189695,0.10742958658702935,26Al,2,4,10,6,True
26,Al,13,13,4599.17,0.05,3,5 FS 2,1685.71,0.0,7.1,0.4,[M1],0.031,0.013,6,5,FS,2,5.000000000000001e-15,2e-15,0.0555052864032985,0.023276410427189694,26Al,2,4,10,4,True
26,Al,13,13,4599.17,0.05,3,5 FS 2,1525.49,0.0,2.1,0.21,[M1],0.012,0.006,6,5,FS,2,5.000000000000001e-15,2e-15,0.021485917317405873,0.010742958658702936,26Al,3,6,10,4,True
26,Al,13,13,4599.17,0.05,3,5 FS 2,2839.97,0.0,100.0,1.9,[M1],0.09,0.04,6,5,FS,2,5.000000000000001e-15,2e-15,0.16114437988054403,0.0716197243913529,26Al,2,4,10,1,True
26,Al,13,13,4599.17,0.05,3,5 FS 2,924.23,0.0,6.5,0.4,[M1],0.17,0.07,6,5,FS,2,5.000000000000001e-15,2e-15,0.30438382866324987,0.12533451768486759,26Al,4,8,10,2,True
26,Al,13,13,4599.17,0.05,3,5 FS 2,2053.72,0.0,10.5,0.4,[M1],0.026,0.011,6,5,FS,2,5.000000000000001e-15,2e-15,0.04655282085437939,0.019695424207622048,26Al,3,6,10,3,True
26,Al,13,13,4599.17,0.05,3,5 FS 2,918.47,0.0,1.66,0.1,[M1],0.045,0.019,6,5,FS,2,5.000000000000001e-15,2e-15,0.08057218994027202,0.03401936908589263,26Al,3,6,10,6,True
26,Al,13,13,4773.35,0.06,4,82 FS 12,581.42,0.0,13.7,1.0,[M1],0.056,0.01,8,82,FS,12,8.2e-14,1.2000000000000001e-14,0.10026761414789406,0.017904931097838226,26Al,3,6,5,8,True
26,Al,13,13,4952.3,0.04,3,10 FS 3,1792.34,0.0,100.0,1.8,[M1],0.22,0.07,6,10,FS,3,1.0000000000000002e-14,3.0000000000000002e-15,0.39390848415244095,0.12533451768486759,26Al,2,4,11,5,True
26,Al,13,13,4952.3,0.04,3,10 FS 3,760.37,0.0,2.3,0.4,[M1],0.066,0.023,6,10,FS,3,1.0000000000000002e-14,3.0000000000000002e-15,0.1181725452457323,0.04118134152502792,26Al,3,6,11,8,True
26,Al,13,13,4952.3,0.04,3,10 FS 3,2882.66,0.0,44.0,1.4,[M1],0.023,0.007,6,10,FS,3,1.0000000000000002e-14,3.0000000000000002e-15,0.04118134152502792,0.012533451768486758,26Al,2,4,11,2,True
26,Al,13,13,5245.28,0.04,4,12 FS 3,1053.34,0.0,100.0,2.2,[M1],0.72,0.19,8,12,FS,3,1.2000000000000001e-14,3.0000000000000002e-15,1.2891550390443522,0.3401936908589263,26Al,3,6,7,8,True
26,Al,13,13,5245.28,0.04,4,12 FS 3,539.9,0.0,5.9,0.4,[M1],0.32,0.09,8,12,FS,3,1.2000000000000001e-14,3.0000000000000002e-15,0.5729577951308232,0.16114437988054403,26Al,4,8,7,4,True
26,Al,13,13,5245.28,0.04,4,12 FS 3,1564.55,0.0,0.93,0.09,[M1],0.0021,6.0E-4,8,12,FS,3,1.2000000000000001e-14,3.0000000000000002e-15,0.0037600355305460274,0.0010742958658702935,26Al,3,6,7,6,True
26,Al,13,13,5513.48,0.04,4,35 FS 4,381.55,0.0,0.7,0.14,[M1],0.029,0.007,8,35,FS,4,3.5e-14,4e-15,0.05192430018373086,0.012533451768486758,26Al,4,8,8,6,True
26,Al,13,13,5513.48,0.04,4,35 FS 4,1321.52,0.0,100.0,3.0,[M1],0.101,0.012,8,35,FS,4,3.5e-14,4e-15,0.1808398040881661,0.021485917317405873,26Al,3,6,8,8,True
26,Al,13,13,5513.48,0.04,4,35 FS 4,808.1,0.0,1.62,0.16,[M1],0.0072,0.0011,8,35,FS,4,3.5e-14,4e-15,0.012891550390443523,0.001969542420762205,26Al,4,8,8,4,True
26,Al,13,13,5544.56,0.07,2,15 FS 13,1948.14,0.0,18.0,4.0,[M1],0.01,0.009,4,15,FS,13,1.5000000000000002e-14,1.3000000000000001e-14,0.017904931097838226,0.0161144379880544,26Al,3,6,10,5,True
26,Al,13,13,5544.56,0.07,2,15 FS 13,1793.59,0.0,71.0,4.0,[M1],0.05,0.04,4,15,FS,13,1.5000000000000002e-14,1.3000000000000001e-14,0.08952465548919114,0.0716197243913529,26Al,2,4,10,6,True
26,Al,13,13,5544.56,0.07,2,15 FS 13,1581.68,0.0,6.4,1.1,[M1],0.007,0.006,4,15,FS,13,1.5000000000000002e-14,1.3000000000000001e-14,0.012533451768486758,0.010742958658702936,26Al,3,6,10,7,True
26,Al,13,13,5849.21,0.08,2,10 FS 6,1657.23,0.0,31.0,4.0,[M1],0.07,0.05,4,10,FS,6,1.0000000000000002e-14,6.0000000000000005e-15,0.12533451768486759,0.08952465548919114,26Al,3,6,11,8,True
26,Al,13,13,5849.21,0.08,2,10 FS 6,1301.25,0.0,17.5,1.9,[M1],0.08,0.06,4,10,FS,6,1.0000000000000002e-14,6.0000000000000005e-15,0.1432394487827058,0.10742958658702935,26Al,2,4,11,7,True
26,Al,13,13,5849.21,0.08,2,10 FS 6,707.52,0.0,6.5,1.3,[M1],0.19,0.13,4,10,FS,6,1.0000000000000002e-14,6.0000000000000005e-15,0.3401936908589263,0.23276410427189695,26Al,2,4,11,8,True
26,Al,13,13,5849.21,0.08,2,10 FS 6,3779.44,0.0,100.0,6.0,[M1],0.02,0.012,4,10,FS,6,1.0000000000000002e-14,6.0000000000000005e-15,0.03580986219567645,0.021485917317405873,26Al,2,4,11,2,True
27,Al,13,14,5667.3,1.2,9/2,11 FS 3,1156.9,1.4,20.0,8.0,(M1),0.14,0.07,9,11,FS,3,1.1e-14,3.0000000000000002e-15,0.25066903536973517,0.12533451768486759,27Al,11/2,11,3,1,True
28,Al,13,15,30.6382,0.0007,2,2.07 NS 0.05,30.6382,0.0007,100.0,0.0,M1,0.37,0.009,4,2.07,NS,0.05,2.07e-09,5.000000000000001e-11,0.6624824506200143,0.0161144379880544,28Al,3,6,1,1,True
28,Al,13,15,1013.637,0.009,3,103 FS 14,1013.676,0.021,61.0,7.0,[M1],0.078,0.016,6,103,FS,14,1.03e-13,1.4e-14,0.13965846256313816,0.028647889756541162,28Al,3,6,2,1,True
28,Al,13,15,1372.917,0.02,1,223 FS 35,400.58,0.03,63.0,7.0,[M1],0.54,0.12,2,223,FS,35,2.23e-13,3.5e-14,0.9668662792832643,0.2148591731740587,28Al,0,0,1,1,True
28,Al,13,15,1620.3,0.04,1,92 FS 22,647.93,0.07,4.4,2.5,[M1],0.034,0.022,2,92,FS,22,9.200000000000001e-14,2.2e-14,0.060876765732649975,0.039390848415244095,28Al,0,0,2,1,True
28,Al,13,15,1622.907,0.02,2,63 FS 10,1622.87,0.06,100.0,11.0,[M1],0.073,0.016,4,63,FS,10,6.300000000000001e-14,1.0000000000000002e-14,0.13070599701421903,0.028647889756541162,28Al,3,6,2,1,True
28,Al,13,15,2271.745,0.019,4,22 FS 3,2271.65,0.023,100.0,5.0,[M1],0.079,0.013,8,22,FS,3,2.2e-14,3.0000000000000002e-15,0.14144895567292198,0.023276410427189694,28Al,3,6,1,1,True
28,Al,13,15,2486.2,0.06,2,66 FS 7,2486.09,0.07,33.0,2.0,[M1],0.0042,7.0E-4,4,66,FS,7,6.600000000000001e-14,7e-15,0.007520071061092055,0.0012533451768486758,28Al,3,6,4,1,True
